OBJECTID,FID_CCG_buffed_125m,OID_,CIT_CODE,NAME,LotName,AggieMap,Name_1,LotType,ORIG_FID,X,Y,BUFF_DIST,FID_structures,Number,Abbrev,Private,Type,Bldg,BldgAbbr,BldgName,YearBuilt,NumFloors,Address,City,Zip,MapDisplay,Shape_Length,Shape_Area
1,1,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,1,-96.337770000000006,30.616499999999998,125.000000000000000,105,0468,LIBR,No,LIBRARY,0468,LIBR,Evans Library,1929,07,400 Spence St,College Station,77843,Evans Library | LIBR | 0468,493.134153814123238,4405.470128303283673
2,1,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,1,-96.337770000000006,30.616499999999998,125.000000000000000,212,0357,,No,UNIVERSITY,0357,,Vending Machine Booth,1999,01,408 Spence St,College Station,77843,Vending Machine Booth |  | 0357,31.084954464558805,54.451907776893499
3,1,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,1,-96.337770000000006,30.616499999999998,125.000000000000000,428,0469,CCPG,No,GARAGE,0469,CCPG,Central Campus Parking Garage,1999,08,450 Spence St,College Station,77843,Central Campus Parking Garage | CCPG | 0469,225.223941799298444,2792.717644242938604
4,1,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,1,-96.337770000000006,30.616499999999998,125.000000000000000,680,0517,CSA,No,ACADEMIC,0517,CSA,Computing Services Annex,1966,05,733 Lamar St,College Station,77843,Computing Services Annex | CSA | 0517,48.465783459865115,97.529217486018439
5,1,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,1,-96.337770000000006,30.616499999999998,125.000000000000000,681,0470,GLAS,No,ACADEMIC,0470,GLAS,Melbern G. Glasscock Building,1921,04,398 Spence St,College Station,77843,Melbern G. Glasscock Building | GLAS | 0470,107.116620622472908,652.114692414672618
6,1,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,1,-96.337770000000006,30.616499999999998,125.000000000000000,683,0472,AIEN,No,ACADEMIC,0472,AIEN,AI Engineering Building,1932,06,423 Spence St,College Station,77843,AI Engineering Building | AIEN | 0472,251.224319583930679,1554.588122474129023
7,1,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,1,-96.337770000000006,30.616499999999998,125.000000000000000,688,0516,CSC,No,ACADEMIC,0516,CSC,Computing Services Center,1959,03,731 Lamar St,College Station,77843,Computing Services Center | CSC | 0516,196.088239970534744,2097.825091022943525
8,1,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,1,-96.337770000000006,30.616499999999998,125.000000000000000,694,0471,PAV,No,ACADEMIC,0471,PAV,Pavilion,1916,02,424 Spence St,College Station,77843,Pavilion | PAV | 0471,184.005770012222740,1881.498376552994614
9,1,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,1,-96.337770000000006,30.616499999999998,125.000000000000000,758,0511,HLB,No,ACADEMIC,0511,HLB,HEEP Laboratory Building,1957,05,645 Lamar St,College Station,77843,HEEP Laboratory Building | HLB | 0511,177.169433411507555,1303.347759855226741
10,1,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,1,-96.337770000000006,30.616499999999998,125.000000000000000,772,0444,PETR,No,ACADEMIC,0444,PETR,Peterson Building,1963,05,435 Nagle St,College Station,77843,Peterson Building | PETR | 0444,231.857884274675740,1741.796376654744563
11,1,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,1,-96.337770000000006,30.616499999999998,125.000000000000000,1024,0275,LAAH,No,ACADEMIC,0275,LAAH,Liberal Arts and Arts & Humanities Building,2012,05,399 Spence St,College Station,77843,Liberal Arts and Arts & Humanities Building | LAAH | 0275,141.325778049186169,889.867473203072677
12,1,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,1,-96.337770000000006,30.616499999999998,125.000000000000000,1153,0458,EABC,No,ACADEMIC,0458,EABC,Engineering Activities Bldg C,1954,01,588 Lamar St,College Station,77843,Engineering Activities Bldg C | EABC | 0458,63.231499498723544,171.652565617831868
13,1,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,1,-96.337770000000006,30.616499999999998,125.000000000000000,1154,0459,EABB,No,ACADEMIC,0459,EABB,Engineering Activities Bldg B,1949,01,620 Lamar St,College Station,77843,Engineering Activities Bldg B | EABB | 0459,164.216272643477851,648.754078673338995
14,1,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,1,-96.337770000000006,30.616499999999998,125.000000000000000,1155,0460,EABA,No,ACADEMIC,0460,EABA,Engineering Activities Bldg A,1954,01,646 Lamar St,College Station,77843,Engineering Activities Bldg A | EABA | 0460,264.404646017780522,1111.064535678230186
15,1,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,1,-96.337770000000006,30.616499999999998,125.000000000000000,105,0468,LIBR,No,LIBRARY,0468,LIBR,Evans Library,1929,07,400 Spence St,College Station,77843,Evans Library | LIBR | 0468,129.357584173857731,913.119972651676107
16,1,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,1,-96.337770000000006,30.616499999999998,125.000000000000000,1074,0468a,SCC,No,LIBRARY,,,,,,,,, | SCC | ,129.357584173857731,913.119972651676107